date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:55:15	23200/23200	---M-Z	200	added ('OK')	text/html	etag:W/%225df9b4b3-5aa0%22	https://technext.github.io/jony/index.html	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/index.html	(from )
15:55:15	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f74c501-247b%22	https://technext.github.io/robots.txt		(from )
15:55:15	1241/1241	---M--	200	added ('OK')	image/png	etag:%225df9b4b3-4d9%22	https://technext.github.io/jony/img/favicon.png	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/favicon.png	(from https://technext.github.io/jony/index.html)
15:55:16	187832/187832	---M-Z	200	added ('OK')	text/css	etag:W/%225df9b4b3-2ddb8%22	https://technext.github.io/jony/css/bootstrap.min.css	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/css/bootstrap.min.css	(from https://technext.github.io/jony/index.html)
15:55:16	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%225df9b4b3-b78%22	https://technext.github.io/jony/css/owl.carousel.min.css	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/css/owl.carousel.min.css	(from https://technext.github.io/jony/index.html)
15:55:16	6951/6951	---M-Z	200	added ('OK')	text/css	etag:W/%225df9b4b3-1b27%22	https://technext.github.io/jony/css/magnific-popup.css	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/css/magnific-popup.css	(from https://technext.github.io/jony/index.html)
15:55:16	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%225df9b4b3-7918%22	https://technext.github.io/jony/css/font-awesome.min.css	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/css/font-awesome.min.css	(from https://technext.github.io/jony/index.html)
15:55:16	16456/16456	---M-Z	200	added ('OK')	text/css	etag:W/%225df9b4b3-4048%22	https://technext.github.io/jony/css/themify-icons.css	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/css/themify-icons.css	(from https://technext.github.io/jony/index.html)
15:55:17	3639/3639	---M-Z	200	added ('OK')	text/css	etag:W/%225df9b4b3-e37%22	https://technext.github.io/jony/css/nice-select.css	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/css/nice-select.css	(from https://technext.github.io/jony/index.html)
15:55:17	1101/1101	---M-Z	200	added ('OK')	text/css	etag:W/%225df9b4b3-44d%22	https://technext.github.io/jony/css/flaticon.css	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/css/flaticon.css	(from https://technext.github.io/jony/index.html)
15:55:17	57523/57523	---M-Z	200	added ('OK')	text/css	etag:W/%225df9b4b3-e0b3%22	https://technext.github.io/jony/css/gijgo.css	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/css/gijgo.css	(from https://technext.github.io/jony/index.html)
15:55:17	77758/77758	---M-Z	200	added ('OK')	text/css	etag:W/%225df9b4b3-12fbe%22	https://technext.github.io/jony/css/animate.css	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/css/animate.css	(from https://technext.github.io/jony/index.html)
15:55:18	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%225df9b4b3-6f0%22	https://technext.github.io/jony/css/slick.css	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/css/slick.css	(from https://technext.github.io/jony/index.html)
15:55:18	5658/5658	---M-Z	200	added ('OK')	text/css	etag:W/%225df9b4b3-161a%22	https://technext.github.io/jony/css/slicknav.css	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/css/slicknav.css	(from https://technext.github.io/jony/index.html)
15:55:18	166853/166853	---M-Z	200	added ('OK')	text/css	etag:W/%225df9b4b3-28bc5%22	https://technext.github.io/jony/css/style.css	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/css/style.css	(from https://technext.github.io/jony/index.html)
15:55:18	1241/1241	---M--	200	added ('OK')	image/png	etag:%225df9b4b3-4d9%22	https://technext.github.io/jony/img/logo.png	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/logo.png	(from https://technext.github.io/jony/index.html)
15:55:19	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22607890ba-247b%22	https://technext.github.io/jony/Works.html	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/Works.html	(from https://technext.github.io/jony/index.html)
15:55:19	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f9757f1-247b%22	https://technext.github.io/jony/Services.html	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/Services.html	(from https://technext.github.io/jony/index.html)
15:55:19	11882/11882	---M-Z	200	added ('OK')	text/html	etag:W/%225df9b4b3-2e6a%22	https://technext.github.io/jony/works_details.html	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/works_details.html	(from https://technext.github.io/jony/index.html)
15:55:19	36500/36500	---M-Z	200	added ('OK')	text/html	etag:W/%225df9b4b3-8e94%22	https://technext.github.io/jony/elements.html	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/elements.html	(from https://technext.github.io/jony/index.html)
15:55:19	17956/17956	---M-Z	200	added ('OK')	text/html	etag:W/%225df9b4b3-4624%22	https://technext.github.io/jony/about.html	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/about.html	(from https://technext.github.io/jony/index.html)
15:55:20	27647/27647	---M-Z	200	added ('OK')	text/html	etag:W/%225df9b4b3-6bff%22	https://technext.github.io/jony/blog.html	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/blog.html	(from https://technext.github.io/jony/index.html)
15:55:20	30354/30354	---M-Z	200	added ('OK')	text/html	etag:W/%225df9b4b3-7692%22	https://technext.github.io/jony/single-blog.html	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/single-blog.html	(from https://technext.github.io/jony/index.html)
15:55:20	13553/13553	---M-Z	200	added ('OK')	text/html	etag:W/%225df9b4b3-34f1%22	https://technext.github.io/jony/contact.html	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/contact.html	(from https://technext.github.io/jony/index.html)
15:55:20	500762/500762	---M--	200	added ('OK')	image/png	etag:%225df9b4b3-7a41a%22	https://technext.github.io/jony/img/about/my_img.png	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/about/my_img.png	(from https://technext.github.io/jony/index.html)
15:55:20	2746/2746	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225df9b4b3-aba%22	https://technext.github.io/jony/img/svg_icon/1.svg	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/svg_icon/1.svg	(from https://technext.github.io/jony/index.html)
15:55:21	4196/4196	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225df9b4b3-1064%22	https://technext.github.io/jony/img/svg_icon/2.svg	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/svg_icon/2.svg	(from https://technext.github.io/jony/index.html)
15:55:21	3668/3668	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225df9b4b3-e54%22	https://technext.github.io/jony/img/svg_icon/3.svg	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/svg_icon/3.svg	(from https://technext.github.io/jony/index.html)
15:55:21	352133/352133	---M--	200	added ('OK')	image/png	etag:%225df9b4b3-55f85%22	https://technext.github.io/jony/img/gallery/1.png	C:/Users/pthih/Downloads/Apps/New%20folder/jony/technext.github.io/jony/img/gallery/1.png	(from https://technext.github.io/jony/index.html)
